"","District","Name","TEA","NCES","Charter","All.Math","All.Reading","Econ_Dis.Math","Econ_Dis.Reading","Female.Math","Female.Reading","Male.Math","Male.Reading","At_Risk.Math","At_Risk.Reading","Special.Math","Special.Reading"
"1",1902,"CAYUGA ISD","H","43","N","84","61","68","59","86","76","83","48","69","38","29","14"
"2",1903,"ELKHART ISD","G","42","N","42","35","21","21","43","41","40","30","35","35","25","25"
"3",1904,"FRANKSTON ISD","H","42","N","49","43","44","38","43","48","54","39","28","4","29","29"
"4",1907,"PALESTINE ISD","E","32","N","44","45","39","41","36","43","51","48","39","39","31","31"
"5",1908,"WESTWOOD ISD","G","32","N","24","31","24","30","26","33","22","27","8","11","18","27"
"6",2901,"ANDREWS ISD","D","32","N","50","45","38","41","46","50","54","40","19","37","15","15"
"7",3902,"HUDSON ISD","G","33","N","56","41","43","29","59","46","53","35","45","18","33","27"
"8",3903,"LUFKIN ISD","E","33","N","39","35","36","30","35","36","43","35","28","20","31","31"
"9",3904,"HUNTINGTON ISD","G","42","N","44","36","38","35","35","34","54","38","26","14","50","38"
"10",3905,"DIBOLL ISD","G","33","N","35","39","31","32","29","38","40","40","24","25","25","25"
"11",3907,"CENTRAL ISD","G","41","N","33","45","27","43","36","43","31","48","10","21","8","26"
"12",4901,"ARANSAS COUNTY ISD","G","32","N","25","28","24","24","20","30","29","27","9","9","9","9"
"13",7902,"JOURDANTON ISD","G","32","N","33","29","25","24","27","32","40","26","8","13","27","9"
"14",7904,"LYTLE ISD","G","31","N","25","31","20","25","24","33","26","28","12","18","0","0"
"15",7905,"PLEASANTON ISD","E","32","N","34","29","28","22","33","31","35","27","15","10","28","31"
"16",7906,"POTEET ISD","G","32","N","34","34","30","33","33","47","34","23","24","24","33","38"
"17",8901,"BELLVILLE ISD","E","32","N","47","49","29","28","53","56","39","42","20","8","30","20"
"18",8902,"SEALY ISD","D","41","N","38","38","30","32","38","44","38","33","13","10","6","19"
"19",9901,"MULESHOE ISD","G","33","N","29","34","25","30","20","31","39","37","20","20","7","14"
"20",10902,"BANDERA ISD","B","42","N","41","41","35","30","48","49","34","34","5","5","12","19"
"21",11901,"BASTROP ISD","E","42","N","43","36","38","29","41","39","45","35","35","23","25","20"
"22",11902,"ELGIN ISD","G","41","N","27","33","25","30","26","34","28","33","21","25","30","30"
"23",11904,"SMITHVILLE ISD","G","41","N","59","42","40","33","64","53","55","31","43","20","20","0"
"24",12901,"SEYMOUR ISD","H","43","N","36","43","32","36","30","55","41","32","9","18","20","0"
"25",13901,"BEEVILLE ISD","E","32","N","32","35","32","34","30","37","34","33","18","17","32","22"
"26",14804,"ORENDA CHARTER SCHOOL","I","41","Y","58","59","27","23","58","65","58","54","28","28","17","25"
"27",14901,"ACADEMY ISD","F","41","N","51","45","40","38","45","52","58","37","36","14","11","33"
"28",14903,"BELTON ISD","D","23","N","52","50","38","38","50","52","55","47","29","24","41","36"
"29",14906,"KILLEEN ISD","C","12","N","50","41","45","34","49","45","52","36","27","18","33","24"
"30",14908,"SALADO ISD","D","42","N","49","49","37","41","51","53","48","46","15","11","18","24"
"31",14909,"TEMPLE ISD","D","13","N","38","33","34","27","38","34","39","32","26","20","23","26"
"32",14910,"TROY ISD","G","41","N","46","35","43","30","45","38","46","32","26","16","50","56"
"33",15802,"GEORGE GERVIN ACADEMY","I","11","Y","39","35","39","35","31","38","44","33","39","35","33","33"
"34",15805,"NEW FRONTIERS PUBLIC SCHOOLS INC","I","11","Y","15","21","16","22","15","15","15","23","6","10","60","80"
"35",15822,"JUBILEE ACADEMIES","I","11","Y","31","30","24","24","32","34","30","26","17","14","6","6"
"36",15827,"SCHOOL OF SCIENCE AND TECHNOLOGY","I","11","Y","40","40","32","31","35","45","44","37","13","17","11","17"
"37",15828,"HARMONY SCIENCE ACAD (SAN ANTONIO)","I","11","Y","34","33","30","29","37","39","31","28","27","25","23","23"
"38",15830,"BROOKS ACADEMIES OF TEXAS","I","11","Y","39","38","34","33","37","43","41","34","25","15","25","31"
"39",15831,"SCHOOL OF SCIENCE AND TECHNOLOGY D","I","21","Y","43","50","41","50","45","64","41","38","22","31","29","14"
"40",15834,"BASIS TEXAS","I","11","Y","74","73","21","29","71","77","76","70","64","61","56","44"
"41",15835,"GREAT HEARTS TEXAS","I","11","Y","51","49","34","32","49","51","52","47","44","44","31","27"
"42",15836,"ELEANOR KOLITZ HEBREW LANGUAGE ACA","I","11","Y","60","53","33","17","57","65","65","40","33","44","43","14"
"43",15901,"ALAMO HEIGHTS ISD","B","21","N","51","61","25","31","49","67","53","56","33","36","24","34"
"44",15904,"HARLANDALE ISD","B","11","N","37","33","34","31","36","35","37","31","32","25","21","21"
"45",15905,"EDGEWOOD ISD","B","11","N","28","25","27","25","23","24","33","26","19","17","15","10"
"46",15906,"RANDOLPH FIELD ISD","G","41","N","70","60","40","40","70","60","69","62","38","13","67","44"
"47",15907,"SAN ANTONIO ISD","A","11","N","33","31","31","30","33","35","33","28","21","20","26","24"
"48",15908,"SOUTH SAN ANTONIO ISD","B","11","N","30","27","28","26","27","29","32","25","23","20","15","14"
"49",15909,"SOMERSET ISD","G","41","N","55","45","52","41","53","45","57","44","47","32","32","32"
"50",15910,"NORTH EAST ISD","A","11","N","51","50","36","36","49","52","53","47","37","38","29","24"
"51",15911,"EAST CENTRAL ISD","B","41","N","35","28","31","25","39","34","31","23","19","14","7","7"
"52",15912,"SOUTHWEST ISD","B","41","N","42","36","39","33","40","37","45","36","40","34","23","21"
"53",15913,"LACKLAND ISD","F","21","N","57","53","57","67","58","60","56","47","37","29","43","36"
"54",15914,"FT SAM HOUSTON ISD","G","11","N","51","51","38","45","54","64","48","38","14","29","20","20"
"55",15915,"NORTHSIDE ISD","A","11","N","47","43","36","31","46","46","49","40","25","22","28","25"
"56",15916,"JUDSON ISD","B","21","N","46","42","40","37","44","41","48","42","30","27","37","33"
"57",15917,"SOUTHSIDE ISD","B","41","N","33","26","31","23","38","30","28","23","22","14","18","12"
"58",16901,"JOHNSON CITY ISD","H","42","N","58","56","50","45","60","60","57","52","14","21","20","20"
"59",16902,"BLANCO ISD","G","42","N","59","58","48","48","41","52","75","63","22","39","56","67"
"60",18902,"MERIDIAN ISD","H","43","N","50","27","53","24","40","27","60","27","17","33","14","29"
"61",19901,"DEKALB ISD","H","42","N","26","34","21","26","26","53","25","21","17","0","33","0"
"62",19902,"HOOKS ISD","H","31","N","53","38","53","35","55","42","52","34","21","5","33","22"
"63",19905,"NEW BOSTON ISD","G","32","N","40","40","34","39","32","34","47","45","26","19","29","33"
"64",19907,"TEXARKANA ISD","E","13","N","45","42","36","34","43","40","47","44","30","24","33","31"
"65",19908,"LIBERTY-EYLAU ISD","G","13","N","40","22","39","19","45","23","36","21","27","10","24","13"
"66",19912,"PLEASANT GROVE ISD","G","13","N","70","57","65","38","62","55","77","59","50","30","31","23"
"67",20901,"ALVIN ISD","B","21","N","52","48","38","35","50","50","53","46","38","33","29","27"
"68",20902,"ANGLETON ISD","D","41","N","40","40","39","37","42","43","39","36","29","23","30","29"
"69",20905,"BRAZOSPORT ISD","C","23","N","59","46","55","40","58","47","61","46","42","28","42","29"
"70",20906,"SWEENY ISD","D","32","N","32","36","20","27","32","41","33","31","32","16","29","14"
"71",20907,"COLUMBIA-BRAZORIA ISD","D","32","N","43","35","30","25","45","42","42","27","28","18","42","35"
"72",20908,"PEARLAND ISD","B","21","N","68","63","53","44","68","67","69","60","49","40","37","29"
"73",21805,"ARROW ACADEMY","I","11","Y","39","43","34","39","41","49","38","40","21","27","33","17"
"74",21901,"COLLEGE STATION ISD","C","12","N","59","51","35","29","58","56","59","47","37","29","37","26"
"75",21902,"BRYAN ISD","C","13","N","46","38","41","32","45","40","47","37","39","27","34","30"
"76",24901,"BROOKS COUNTY ISD","D","33","N","37","25","34","23","32","28","42","22","13","9","42","8"
"77",25902,"BROWNWOOD ISD","E","33","N","43","37","35","29","43","39","42","36","15","17","23","15"
"78",25909,"EARLY ISD","G","33","N","39","56","34","48","35","58","43","55","22","33","11","22"
"79",26901,"CALDWELL ISD","D","41","N","43","41","33","29","41","40","45","42","17","12","38","31"
"80",26903,"SNOOK ISD","H","42","N","53","47","46","36","62","62","48","39","36","18","20","20"
"81",27903,"BURNET CISD","D","41","N","38","38","26","22","40","36","35","40","24","25","16","26"
"82",27904,"MARBLE FALLS ISD","E","32","N","38","42","30","36","37","41","38","44","22","28","18","21"
"83",28902,"LOCKHART ISD","D","31","N","39","32","35","27","37","35","40","28","29","21","22","22"
"84",28903,"LULING ISD","E","32","N","36","27","30","22","37","31","36","22","20","12","25","0"
"85",29901,"CALHOUN COUNTY ISD","G","32","N","67","52","63","45","66","50","68","53","57","34","26","19"
"86",30906,"EULA ISD","H","42","N","48","48","41","41","65","65","25","25","10","10","13","13"
"87",31901,"BROWNSVILLE ISD","C","12","N","56","46","54","44","54","47","57","45","48","36","31","25"
"88",31903,"HARLINGEN CISD","D","13","N","52","44","49","40","51","47","54","42","38","26","40","39"
"89",31905,"LA FERIA ISD","G","22","N","54","44","52","39","48","50","60","39","38","28","32","20"
"90",31906,"LOS FRESNOS CISD","D","22","N","63","52","59","48","62","56","63","48","57","42","37","29"
"91",31909,"POINT ISABEL ISD","D","32","N","45","39","40","35","46","41","43","37","35","30","11","5"
"92",31911,"RIO HONDO ISD","G","41","N","37","33","34","27","42","44","30","21","16","14","9","9"
"93",31912,"SAN BENITO CISD","D","22","N","49","39","46","36","50","44","49","35","37","26","33","27"
"94",31914,"SANTA ROSA ISD","G","22","N","53","41","51","38","49","51","57","31","35","28","30","20"
"95",32902,"PITTSBURG ISD","G","32","N","59","58","55","55","54","62","64","55","47","49","47","47"
"96",33902,"PANHANDLE ISD","H","42","N","41","47","18","32","42","46","40","48","20","13","17","33"
"97",33904,"WHITE DEER ISD","H","43","N","47","41","37","21","40","33","53","47","38","13","20","0"
"98",34901,"ATLANTA ISD","E","41","N","47","52","41","47","44","50","51","55","35","31","40","27"
"99",34903,"HUGHES SPRINGS ISD","G","32","N","44","41","33","33","34","34","55","48","35","28","25","38"
"100",34906,"MCLEOD ISD","H","42","N","45","55","40","60","47","67","43","43","29","29","20","20"
"101",34907,"QUEEN CITY ISD","G","32","N","40","57","36","55","27","63","53","50","32","50","17","33"
"102",35901,"DIMMITT ISD","D","33","N","40","38","45","43","44","45","34","26","42","25","9","0"
"103",36901,"ANAHUAC ISD","D","42","N","42","24","37","22","38","29","45","20","46","27","40","40"
"104",36902,"BARBERS HILL ISD","D","41","N","74","68","62","52","72","68","76","67","48","31","33","36"
"105",36903,"EAST CHAMBERS ISD","E","32","N","70","48","63","40","60","42","77","52","63","35","30","20"
"106",37904,"JACKSONVILLE ISD","E","32","N","35","40","29","36","31","44","39","36","27","34","29","19"
"107",37907,"RUSK ISD","G","41","N","43","46","37","40","39","49","46","43","14","20","44","39"
"108",38901,"CHILDRESS ISD","G","33","N","59","42","56","33","58","37","61","47","39","21","30","10"
"109",39902,"HENRIETTA ISD","D","41","N","49","46","41","41","37","49","63","44","26","19","25","13"
"110",43801,"IMAGINE INTERNATIONAL ACADEMY OF N","I","22","Y","72","68","73","55","74","83","71","59","68","42","31","25"
"111",43901,"ALLEN ISD","D","21","N","72","67","49","43","70","69","73","65","46","38","44","38"
"112",43902,"ANNA ISD","F","41","N","51","46","49","38","43","49","58","43","39","28","46","19"
"113",43903,"CELINA ISD","F","41","N","57","60","41","46","53","59","60","60","30","33","30","36"
"114",43904,"FARMERSVILLE ISD","G","31","N","51","44","43","36","49","44","53","44","33","22","44","39"
"115",43905,"FRISCO ISD","C","21","N","65","65","32","37","63","67","67","62","31","28","39","36"
"116",43907,"MCKINNEY ISD","D","22","N","57","53","42","38","56","58","57","49","39","32","38","34"
"117",43908,"MELISSA ISD","F","22","N","75","66","50","53","72","72","78","61","52","35","58","42"
"118",43910,"PLANO ISD","B","11","N","65","60","43","37","62","64","67","57","43","34","40","37"
"119",43911,"PRINCETON ISD","F","22","N","47","42","40","34","39","38","54","46","34","26","29","21"
"120",43912,"PROSPER ISD","D","41","N","65","60","44","36","64","62","67","57","41","34","42","36"
"121",43914,"WYLIE ISD","D","21","N","70","62","56","47","69","67","71","57","44","32","48","41"
"122",43918,"COMMUNITY ISD","D","41","N","57","56","55","49","55","61","59","49","43","47","21","21"
"123",43919,"LOVEJOY ISD","G","21","N","85","77","60","70","79","78","91","75","62","54","52","52"
"124",44902,"WELLINGTON ISD","H","43","N","36","38","24","28","22","35","50","41","8","16","14","14"
"125",45902,"COLUMBUS ISD","G","33","N","49","35","40","29","56","37","44","33","30","15","55","55"
"126",45903,"RICE CISD","G","42","N","45","25","41","22","39","24","50","26","25","13","17","17"
"127",46901,"NEW BRAUNFELS ISD","C","13","N","55","55","37","39","52","57","57","53","29","32","33","35"
"128",46902,"COMAL ISD","B","41","N","59","56","39","39","58","59","60","54","32","24","30","31"
"129",47901,"COMANCHE ISD","G","41","N","52","39","47","27","68","48","38","31","41","24","31","23"
"130",49901,"GAINESVILLE ISD","E","41","N","43","30","39","27","43","36","43","25","30","18","38","21"
"131",49902,"MUENSTER ISD","H","43","N","60","60","14","29","67","80","55","45","0","0","11","11"
"132",49903,"VALLEY VIEW ISD","H","42","N","53","53","43","43","46","38","58","64","44","28","17","33"
"133",49905,"CALLISBURG ISD","G","42","N","44","43","32","34","50","52","38","33","17","17","40","0"
"134",50902,"GATESVILLE ISD","D","32","N","47","46","41","36","48","52","47","41","24","10","25","25"
"135",50910,"COPPERAS COVE ISD","D","22","N","53","47","45","37","50","45","56","49","28","23","37","38"
"136",52901,"CRANE ISD","D","32","N","48","40","49","36","51","49","44","31","47","37","40","40"
"137",54903,"RALLS ISD","H","42","N","26","29","23","15","18","29","33","28","6","6","17","17"
"138",56901,"DALHART ISD","G","41","N","38","21","33","11","36","19","40","23","17","7","30","30"
"139",57803,"UPLIFT EDUCATION","I","11","Y","45","36","40","31","44","40","45","32","29","19","29","22"
"140",57806,"ADVANTAGE ACADEMY","I","21","Y","20","21","15","17","16","24","24","18","9","9","17","0"
"141",57807,"LIFE SCHOOL","I","21","Y","25","34","23","30","26","39","23","28","12","10","22","22"
"142",57813,"TRINITY BASIN PREPARATORY","I","11","Y","39","33","38","32","40","37","37","28","38","33","23","19"
"143",57816,"A W BROWN LEADERSHIP ACADEMY","I","11","Y","32","26","35","30","35","29","30","22","20","21","27","27"
"144",57829,"A+ ACADEMY","I","11","Y","24","22","25","22","23","27","24","14","21","19","31","31"
"145",57835,"GOLDEN RULE CHARTER SCHOOL","I","11","Y","54","46","53","46","49","51","58","42","51","41","17","17"
"146",57839,"LA ACADEMIA DE ESTRELLAS","I","11","Y","38","30","37","27","33","31","43","27","38","24","9","18"
"147",57846,"LEGACY PREPARATORY","I","21","Y","33","32","26","26","32","35","34","29","25","28","9","0"
"148",57848,"INTERNATIONAL LEADERSHIP OF TEXAS","I","21","Y","36","39","30","31","33","42","40","34","26","26","20","23"
"149",57903,"CARROLLTON-FARMERS BRANCH ISD","B","21","N","48","44","40","35","49","48","48","41","39","31","35","27"
"150",57904,"CEDAR HILL ISD","B","21","N","38","32","35","28","38","33","37","31","25","19","21","19"
"151",57905,"DALLAS ISD","A","11","N","45","42","42","39","43","46","46","39","44","42","29","26"
"152",57906,"DESOTO ISD","B","21","N","34","27","31","26","36","32","32","23","21","15","23","23"
"153",57907,"DUNCANVILLE ISD","B","21","N","42","38","41","36","37","40","46","36","35","27","33","23"
"154",57909,"GARLAND ISD","B","21","N","53","48","47","43","52","52","54","44","46","39","32","26"
"155",57910,"GRAND PRAIRIE ISD","B","21","N","50","45","47","40","48","48","52","41","42","34","27","25"
"156",57912,"IRVING ISD","B","12","N","42","33","40","30","41","36","43","30","34","22","30","21"
"157",57913,"LANCASTER ISD","B","21","N","43","39","43","36","44","41","42","37","37","30","26","24"
"158",57914,"MESQUITE ISD","B","21","N","45","39","43","36","43","40","47","38","43","34","30","28"
"159",57916,"RICHARDSON ISD","B","11","N","55","48","40","31","52","50","57","46","36","25","31","26"
"160",57919,"SUNNYVALE ISD","D","41","N","59","65","17","13","62","72","56","59","36","9","23","27"
"161",57922,"COPPELL ISD","B","21","N","72","70","29","39","70","73","74","68","48","42","36","38"
"162",58906,"LAMESA ISD","G","33","N","30","22","22","14","26","20","32","23","20","13","20","20"
"163",59901,"HEREFORD ISD","D","32","N","39","36","38","33","39","38","40","33","31","30","23","12"
"164",59902,"WALCOTT ISD","H","43","N","45","40","38","23","55","45","33","33","10","10","17","17"
"165",61901,"DENTON ISD","C","12","N","49","45","37","32","44","49","53","40","32","26","32","24"
"166",61902,"LEWISVILLE ISD","B","21","N","52","50","30","29","51","54","53","47","27","23","31","29"
"167",61903,"PILOT POINT ISD","D","31","N","35","35","26","26","32","39","37","33","27","30","50","40"
"168",61905,"KRUM ISD","D","31","N","34","38","23","20","30","32","37","42","17","13","15","12"
"169",61906,"PONDER ISD","D","42","N","52","32","37","20","45","34","58","30","33","8","33","0"
"170",61907,"AUBREY ISD","D","41","N","59","54","37","40","54","55","63","52","42","32","29","17"
"171",61908,"SANGER ISD","D","41","N","46","41","38","35","42","48","50","34","30","20","15","15"
"172",61910,"ARGYLE ISD","D","41","N","70","60","52","41","66","63","73","57","42","24","46","41"
"173",61911,"NORTHWEST ISD","D","41","N","54","56","34","37","53","60","55","52","33","31","30","31"
"174",61912,"LAKE DALLAS ISD","D","21","N","48","47","40","35","49","52","47","43","30","24","29","26"
"175",61914,"LITTLE ELM ISD","D","21","N","42","44","32","36","39","48","45","40","27","26","29","32"
"176",62901,"CUERO ISD","G","32","N","39","37","29","29","28","32","51","42","23","21","38","33"
"177",62903,"YOAKUM ISD","G","32","N","48","29","44","24","40","27","54","31","25","11","15","15"
"178",62904,"YORKTOWN ISD","H","43","N","26","17","17","10","15","20","35","15","5","10","33","17"
"179",64903,"CARRIZO SPRINGS CISD","D","33","N","51","46","45","37","55","51","48","40","35","28","11","22"
"180",65901,"CLARENDON ISD","H","43","N","67","64","59","47","50","63","82","65","69","50","38","25"
"181",66902,"SAN DIEGO ISD","G","32","N","29","31","28","30","19","24","41","39","15","11","30","30"
"182",66903,"FREER ISD","H","43","N","23","19","22","11","19","19","27","19","15","7","25","13"
"183",67902,"CISCO ISD","H","33","N","41","54","26","26","21","53","51","54","7","14","13","13"
"184",67903,"EASTLAND ISD","G","33","N","52","49","43","39","51","44","53","53","44","32","38","50"
"185",67907,"RANGER ISD","H","43","N","15","36","16","40","13","33","17","39","0","20","17","50"
"186",68901,"ECTOR COUNTY ISD","C","12","N","35","35","30","29","36","37","35","32","26","27","22","21"
"187",70801,"WAXAHACHIE FAITH FAMILY ACADEMY","I","11","Y","16","20","16","20","12","20","20","20","13","16","0","0"
"188",70903,"ENNIS ISD","D","41","N","46","43","43","38","42","47","49","40","24","17","32","26"
"189",70905,"FERRIS ISD","B","41","N","47","43","46","43","42","39","51","47","42","42","22","13"
"190",70908,"MIDLOTHIAN ISD","C","21","N","56","47","33","27","57","50","55","45","26","23","33","28"
"191",70910,"PALMER ISD","D","41","N","56","49","53","50","53","48","59","51","25","13","54","38"
"192",70911,"RED OAK ISD","D","21","N","44","43","39","35","42","46","46","40","28","21","27","31"
"193",70912,"WAXAHACHIE ISD","C","21","N","55","53","40","41","55","57","54","49","35","24","31","29"
"194",71801,"BURNHAM WOOD CHARTER SCHOOL DISTRI","I","11","Y","62","56","57","49","53","51","73","64","62","57","33","50"
"195",71806,"HARMONY SCIENCE ACAD (EL PASO)","I","11","Y","46","37","43","33","49","43","44","32","38","31","36","22"
"196",71901,"CLINT ISD","B","21","N","46","36","45","33","45","37","48","34","39","27","28","28"
"197",71902,"EL PASO ISD","A","11","N","48","46","42","40","44","48","51","45","37","35","31","30"
"198",71903,"FABENS ISD","G","31","N","54","46","54","44","56","51","52","42","50","40","21","8"
"199",71904,"SAN ELIZARIO ISD","B","21","N","50","42","49","41","49","40","52","43","45","37","29","38"
"200",71905,"YSLETA ISD","A","11","N","57","48","53","44","56","51","58","45","44","38","36","30"
"201",71906,"ANTHONY ISD","H","21","N","35","35","35","35","38","33","32","36","18","14","0","0"
"202",71907,"CANUTILLO ISD","B","11","N","54","53","48","45","60","59","50","49","41","41","26","28"
"203",71909,"SOCORRO ISD","A","11","N","55","49","52","45","54","53","57","45","42","33","35","32"
"204",72902,"DUBLIN ISD","G","41","N","89","88","89","89","80","87","95","89","91","89","86","71"
"205",72903,"STEPHENVILLE ISD","E","33","N","61","52","45","36","58","50","63","54","33","25","51","46"
"206",73903,"MARLIN ISD","G","32","N","21","13","21","13","18","11","24","15","13","0","0","0"
"207",73905,"ROSEBUD-LOTT ISD","H","42","N","26","38","27","37","22","43","32","32","5","19","0","29"
"208",74903,"BONHAM ISD","E","32","N","41","39","33","32","38","36","44","42","7","17","27","20"
"209",74909,"LEONARD ISD","H","42","N","42","43","30","27","43","43","40","44","9","9","17","33"
"210",75902,"LA GRANGE ISD","E","33","N","45","41","20","14","42","47","48","36","14","9","21","29"
"211",75903,"SCHULENBURG ISD","H","33","N","46","28","43","24","30","22","59","33","34","24","58","42"
"212",77902,"LOCKNEY ISD","H","43","N","31","17","14","14","33","17","29","18","6","0","0","0"
"213",79901,"LAMAR CISD","C","21","N","65","56","55","45","65","61","65","53","50","40","32","26"
"214",79906,"NEEDVILLE ISD","D","41","N","55","54","41","42","53","61","57","47","32","32","30","37"
"215",79907,"FORT BEND ISD","B","21","N","58","56","39","36","57","59","60","53","42","37","34","30"
"216",79910,"STAFFORD MSD","B","21","N","42","38","38","34","41","42","43","33","33","28","19","19"
"217",80901,"MOUNT VERNON ISD","G","33","N","45","23","41","18","46","23","45","23","48","28","0","0"
"218",81902,"FAIRFIELD ISD","G","33","N","45","47","34","43","40","48","52","46","26","11","33","11"
"219",81904,"TEAGUE ISD","G","33","N","54","45","47","40","48","39","58","50","36","31","71","57"
"220",82902,"DILLEY ISD","G","41","N","50","27","44","20","50","17","50","33","0","0","22","22"
"221",82903,"PEARSALL ISD","G","33","N","31","32","31","32","29","32","32","32","23","23","36","55"
"222",83901,"SEAGRAVES ISD","H","43","N","31","24","33","21","22","22","39","26","23","10","20","20"
"223",83903,"SEMINOLE ISD","G","33","N","54","46","53","38","45","47","63","46","35","19","28","34"
