"","District","Name","TEA","NCES","Charter","All.Math","All.Reading","Econ_Dis.Math","Econ_Dis.Reading","Female.Math","Female.Reading","Male.Math","Male.Reading","At_Risk.Math","At_Risk.Reading","Special.Math","Special.Reading"
"224",84802,"ODYSSEY ACADEMY INC","I","31","Y","27","24","23","12","21","16","32","32","13","13","60","60"
"225",84901,"DICKINSON ISD","C","22","N","53","43","47","35","52","48","53","38","39","25","37","27"
"226",84902,"GALVESTON ISD","C","31","N","56","46","52","39","58","52","54","40","52","42","32","34"
"227",84906,"TEXAS CITY ISD","D","22","N","35","28","34","26","35","33","36","23","24","14","18","10"
"228",84908,"HITCHCOCK ISD","D","22","N","27","35","20","31","23","40","30","32","18","19","37","37"
"229",84909,"SANTA FE ISD","D","22","N","54","44","45","38","52","48","55","41","23","13","32","29"
"230",84910,"CLEAR CREEK ISD","B","21","N","52","53","36","38","50","58","54","48","37","35","28","27"
"231",84911,"FRIENDSWOOD ISD","G","21","N","62","64","37","34","59","65","66","63","16","20","45","48"
"232",86901,"FREDERICKSBURG ISD","E","33","N","54","51","41","40","55","54","53","48","37","43","15","12"
"233",88902,"GOLIAD ISD","G","42","N","40","34","31","24","52","39","29","31","24","13","17","8"
"234",89901,"GONZALES ISD","G","32","N","47","35","40","32","44","34","49","37","35","20","31","23"
"235",89903,"NIXON-SMILEY CISD","G","43","N","32","32","36","32","32","29","33","38","24","12","25","17"
"236",90904,"PAMPA ISD","G","33","N","48","40","42","32","44","40","52","40","28","15","31","31"
"237",91903,"DENISON ISD","D","13","N","47","45","40","39","41","45","54","46","18","20","39","35"
"238",91905,"HOWE ISD","D","41","N","57","58","39","54","52","59","62","57","40","38","50","40"
"239",91906,"SHERMAN ISD","C","13","N","39","40","38","36","37","42","42","39","33","29","24","26"
"240",91907,"TIOGA ISD","F","42","N","72","55","79","36","82","71","67","47","50","30","38","25"
"241",91908,"VAN ALSTYNE ISD","D","41","N","50","52","29","32","53","54","47","49","14","21","33","17"
"242",91909,"WHITESBORO ISD","D","32","N","49","45","39","35","36","46","59","44","28","19","21","21"
"243",91910,"WHITEWRIGHT ISD","H","42","N","36","33","23","7","47","47","31","25","25","0","20","20"
"244",91913,"POTTSBORO ISD","D","23","N","54","43","49","39","45","41","63","46","34","14","20","30"
"245",91914,"S AND S CISD","D","41","N","57","59","50","47","52","56","63","63","29","35","20","40"
"246",91917,"GUNTER ISD","F","42","N","61","44","46","17","58","42","64","47","30","9","40","0"
"247",92901,"GLADEWATER ISD","D","23","N","25","35","19","31","17","49","30","26","18","27","30","30"
"248",92902,"KILGORE ISD","D","31","N","40","39","37","38","37","42","42","37","30","29","30","27"
"249",92903,"LONGVIEW ISD","C","13","N","54","46","46","37","50","47","58","45","44","36","43","37"
"250",92904,"PINE TREE ISD","D","13","N","45","37","38","30","43","35","47","39","35","23","25","26"
"251",92906,"SABINE ISD","D","41","N","65","51","60","46","64","53","66","49","50","31","40","30"
"252",92907,"SPRING HILL ISD","D","13","N","50","57","29","36","55","64","46","50","25","28","36","36"
"253",92908,"WHITE OAK ISD","D","23","N","57","42","56","35","52","43","61","40","29","21","29","21"
"254",93901,"ANDERSON-SHIRO CISD","E","42","N","69","46","56","32","68","57","71","33","54","17","40","40"
"255",93903,"IOLA ISD","H","42","N","71","49","62","38","80","55","60","40","54","15","20","20"
"256",93904,"NAVASOTA ISD","D","32","N","37","32","33","27","29","38","43","28","31","27","17","17"
"257",94901,"SEGUIN ISD","D","31","N","36","35","30","29","36","36","36","33","18","18","20","18"
"258",94902,"SCHERTZ-CIBOLO-U CITY ISD","C","21","N","48","46","35","36","43","48","52","45","12","10","21","19"
"259",94903,"NAVARRO ISD","D","41","N","60","59","39","45","56","59","64","58","24","18","45","64"
"260",94904,"MARION ISD","D","21","N","51","37","43","33","53","43","50","31","18","14","18","0"
"261",95901,"ABERNATHY ISD","H","31","N","64","47","43","25","64","52","65","44","36","20","33","17"
"262",95905,"PLAINVIEW ISD","E","33","N","34","28","32","23","32","28","37","28","17","10","28","24"
"263",97902,"HAMILTON ISD","H","33","N","41","39","29","24","48","52","37","30","27","13","8","17"
"264",100904,"SILSBEE ISD","E","31","N","61","52","54","42","61","56","62","47","43","33","45","32"
"265",100905,"HARDIN-JEFFERSON ISD","D","42","N","54","53","39","39","47","50","62","56","35","37","44","31"
"266",100907,"LUMBERTON ISD","D","22","N","49","53","38","44","45","51","52","54","25","37","14","19"
"267",101802,"SER-NINOS CHARTER SCHOOL","I","11","Y","38","46","38","47","40","54","37","40","38","46","30","20"
"268",101803,"ARISTOI CLASSICAL ACADEMY","I","21","Y","43","55","39","43","38","63","48","48","18","29","25","38"
"269",101814,"THE VARNETT PUBLIC SCHOOL","I","11","Y","32","25","35","28","29","24","34","25","32","23","8","8"
"270",101828,"HOUSTON GATEWAY ACADEMY INC","I","11","Y","75","65","92","67","76","72","75","58","75","65","44","33"
"271",101838,"SOUTHWEST SCHOOL","I","11","Y","49","52","50","53","53","60","46","46","48","52","24","6"
"272",101846,"HARMONY SCIENCE ACADEMY","I","11","Y","35","38","32","35","35","43","34","33","27","27","19","15"
"273",101853,"PROMISE COMMUNITY SCHOOL","I","11","Y","46","33","45","33","38","35","53","30","42","25","11","11"
"274",101858,"HARMONY SCHOOL OF EXCELLENCE","I","11","Y","51","56","41","47","50","60","51","51","40","43","30","35"
"275",101861,"THE RHODES SCHOOL","I","21","Y","35","42","35","38","36","45","34","39","44","50","8","8"
"276",101862,"HARMONY SCHOOL OF SCIENCE - HOUSTO","I","12","Y","59","59","53","50","57","67","61","52","53","46","7","14"
"277",101902,"ALDINE ISD","B","21","N","39","30","38","28","38","32","40","28","32","21","23","20"
"278",101903,"ALIEF ISD","B","11","N","36","32","35","31","35","35","37","30","34","29","26","23"
"279",101905,"CHANNELVIEW ISD","B","21","N","50","42","48","40","50","46","50","38","43","34","23","18"
"280",101906,"CROSBY ISD","B","41","N","43","38","37","28","36","37","49","39","33","22","21","14"
"281",101907,"CYPRESS-FAIRBANKS ISD","B","21","N","49","48","37","37","48","52","50","44","34","33","30","26"
"282",101908,"DEER PARK ISD","B","21","N","49","45","38","33","44","48","54","41","30","22","24","18"
"283",101910,"GALENA PARK ISD","B","21","N","46","41","44","39","43","44","49","39","43","38","25","22"
"284",101911,"GOOSE CREEK CISD","B","13","N","41","37","37","33","40","42","42","32","28","21","21","17"
"285",101912,"HOUSTON ISD","A","11","N","46","42","40","35","45","45","47","38","35","29","28","26"
"286",101913,"HUMBLE ISD","B","21","N","45","46","31","30","45","50","44","42","25","27","27","28"
"287",101914,"KATY ISD","B","21","N","62","61","43","42","61","64","63","58","49","46","34","34"
"288",101915,"KLEIN ISD","B","21","N","51","50","38","37","49","54","53","46","31","25","33","30"
"289",101916,"LA PORTE ISD","B","21","N","50","53","43","46","50","53","51","53","35","35","33","33"
"290",101917,"PASADENA ISD","B","21","N","41","42","39","40","39","47","42","38","37","38","25","22"
"291",101919,"SPRING ISD","B","21","N","34","35","33","33","33","39","36","31","26","26","26","24"
"292",101920,"SPRING BRANCH ISD","B","11","N","49","46","32","28","47","47","51","44","34","27","28","28"
"293",101921,"TOMBALL ISD","B","21","N","66","62","50","46","66","66","65","57","42","39","41","28"
"294",101924,"SHELDON ISD","B","21","N","38","33","36","31","36","33","41","32","32","24","18","16"
"295",101925,"HUFFMAN ISD","G","41","N","34","40","19","25","32","40","37","39","16","16","22","25"
"296",102902,"MARSHALL ISD","E","32","N","49","45","43","40","42","43","54","47","47","43","24","24"
"297",102904,"HALLSVILLE ISD","D","31","N","54","46","43","33","53","53","55","39","35","17","42","17"
"298",102906,"ELYSIAN FIELDS ISD","H","42","N","45","44","42","45","50","45","39","43","27","29","0","0"
"299",105902,"SAN MARCOS CISD","C","13","N","38","37","31","28","35","39","41","35","22","14","22","21"
"300",105904,"DRIPPING SPRINGS ISD","B","42","N","50","59","30","35","46","63","55","55","30","29","34","38"
"301",105905,"WIMBERLEY ISD","D","41","N","51","51","23","28","51","56","51","45","28","15","25","42"
"302",105906,"HAYS CISD","B","21","N","46","46","35","33","42","48","50","44","26","25","26","22"
"303",107901,"ATHENS ISD","E","32","N","52","35","45","27","56","41","50","31","37","22","40","23"
"304",107902,"BROWNSBORO ISD","D","42","N","45","37","38","27","42","35","49","38","28","19","28","17"
"305",107905,"EUSTACE ISD","G","42","N","54","50","50","48","55","55","53","44","47","40","23","15"
"306",107906,"MALAKOFF ISD","G","33","N","78","70","70","64","71","69","87","71","64","47","69","46"
"307",107910,"LAPOYNOR ISD","H","42","N","53","63","42","53","70","60","45","64","9","27","17","17"
"308",108802,"HORIZON MONTESSORI PUBLIC SCHOOLS","I","12","Y","49","44","44","37","50","52","48","36","36","33","29","43"
"309",108807,"IDEA PUBLIC SCHOOLS","I","11","Y","42","43","38","39","41","46","42","41","37","36","27","28"
"310",108808,"VANGUARD ACADEMY","I","21","Y","53","47","49","42","55","46","51","48","52","46","31","25"
"311",108902,"DONNA ISD","D","21","N","35","32","34","31","30","31","40","32","31","28","35","34"
"312",108903,"EDCOUCH-ELSA ISD","D","21","N","46","33","46","34","46","37","47","28","27","16","33","27"
"313",108904,"EDINBURG CISD","C","13","N","62","50","59","46","62","53","62","47","53","36","42","32"
"314",108905,"HIDALGO ISD","D","21","N","72","54","70","52","72","58","72","47","69","49","65","46"
"315",108906,"MCALLEN ISD","D","12","N","53","47","48","41","51","48","55","46","42","36","36","32"
"316",108907,"MERCEDES ISD","G","21","N","40","31","37","28","35","28","43","35","33","22","34","28"
"317",108908,"MISSION CISD","D","13","N","49","40","47","38","47","44","51","36","43","33","22","24"
"318",108909,"PHARR-SAN JUAN-ALAMO ISD","C","21","N","58","47","56","45","58","47","58","46","57","46","42","41"
"319",108910,"PROGRESO ISD","G","21","N","43","30","42","30","41","33","45","27","39","30","36","27"
"320",108911,"SHARYLAND ISD","D","13","N","57","52","51","44","52","50","62","53","44","37","33","31"
"321",108912,"LA JOYA ISD","C","21","N","51","49","50","48","50","55","52","44","46","44","36","33"
"322",108913,"WESLACO ISD","D","21","N","55","45","52","41","53","46","56","43","53","43","32","24"
"323",108914,"LA VILLA ISD","H","21","N","35","26","36","27","27","7","42","42","27","12","50","33"
"324",108915,"MONTE ALTO ISD","G","41","N","56","28","55","24","52","24","58","31","43","9","50","0"
"325",108916,"VALLEY VIEW ISD","D","21","N","69","61","68","61","72","62","66","61","68","61","44","44"
"326",109902,"BYNUM ISD","H","42","N","56","44","50","40","71","71","45","27","38","25","60","40"
"327",109904,"HILLSBORO ISD","E","32","N","61","35","53","25","61","34","60","36","41","3","13","13"
"328",109911,"WHITNEY ISD","E","42","N","32","38","20","30","24","33","41","45","14","17","23","23"
"329",110902,"LEVELLAND ISD","G","32","N","34","37","30","31","27","39","42","36","14","12","37","37"
"330",111901,"GRANBURY ISD","D","32","N","46","41","40","30","46","44","46","37","27","20","35","32"
"331",112901,"SULPHUR SPRINGS ISD","E","33","N","34","39","27","31","33","50","36","31","18","23","18","6"
"332",112906,"NORTH HOPKINS ISD","H","42","N","31","33","26","32","21","21","40","45","23","18","0","0"
"333",113901,"CROCKETT ISD","G","33","N","19","19","18","18","11","15","28","23","19","19","22","22"
"334",113902,"GRAPELAND ISD","F","43","N","46","40","36","28","57","43","38","38","20","20","40","20"
"335",114901,"BIG SPRING ISD","E","32","N","36","24","31","18","35","25","37","22","32","8","44","35"
"336",114902,"COAHOMA ISD","F","42","N","29","30","23","23","30","39","29","22","8","8","17","17"
"337",114904,"FORSAN ISD","H","42","N","63","63","64","45","58","54","67","71","31","23","40","40"
"338",116901,"CADDO MILLS ISD","F","42","N","71","59","53","47","73","57","68","62","57","35","55","45"
"339",116903,"COMMERCE ISD","G","41","N","33","33","20","21","28","33","40","33","9","11","21","14"
"340",116905,"GREENVILLE ISD","E","32","N","27","26","19","21","27","31","27","22","21","18","8","13"
"341",116906,"LONE OAK ISD","G","42","N","46","44","32","28","54","46","36","42","0","20","0","13"
"342",116908,"QUINLAN ISD","D","41","N","24","25","16","19","19","29","29","21","12","13","29","25"
"343",116910,"CAMPBELL ISD","H","42","N","21","32","8","33","18","27","25","38","20","20","17","17"
"344",116915,"BLAND ISD","F","42","N","72","56","53","33","65","59","80","53","61","33","50","33"
"345",117901,"BORGER ISD","G","32","N","48","38","43","35","53","46","43","29","27","31","21","8"
"346",117903,"SANFORD-FRITCH ISD","H","32","N","35","37","19","19","24","43","44","32","14","14","22","11"
"347",119902,"JACKSBORO ISD","G","33","N","42","34","46","31","42","42","43","29","14","4","25","25"
"348",120901,"EDNA ISD","G","32","N","43","35","33","23","44","36","42","34","34","19","19","19"
"349",120905,"INDUSTRIAL ISD","G","42","N","60","39","48","32","63","44","58","33","36","0","60","20"
"350",121903,"BUNA ISD","G","42","N","41","47","30","33","33","43","51","52","24","21","20","30"
"351",121904,"JASPER ISD","E","33","N","23","33","19","28","23","33","23","32","17","24","26","35"
"352",121905,"KIRBYVILLE CISD","G","43","N","41","41","39","35","43","50","40","32","29","27","7","0"
"353",123905,"NEDERLAND ISD","D","22","N","59","59","50","47","60","61","59","56","37","34","35","32"
"354",123907,"PORT ARTHUR ISD","D","13","N","39","34","36","32","37","36","40","31","39","34","32","26"
"355",123908,"PORT NECHES-GROVES ISD","D","22","N","59","53","50","47","57","56","62","49","42","34","39","27"
"356",123910,"BEAUMONT ISD","C","12","N","22","25","19","21","23","30","22","21","13","14","25","25"
"357",123914,"HAMSHIRE-FANNETT ISD","D","42","N","56","55","50","47","55","62","57","49","45","41","31","23"
"358",125901,"ALICE ISD","E","32","N","37","35","34","33","35","39","38","30","23","16","38","33"
"359",125903,"ORANGE GROVE ISD","G","42","N","66","51","57","40","68","57","65","44","44","18","23","38"
"360",125905,"PREMONT ISD","F","41","N","14","14","15","15","30","30","6","6","6","6","33","33"
"361",126901,"ALVARADO ISD","D","41","N","61","45","55","41","55","41","65","48","40","26","38","31"
"362",126902,"BURLESON ISD","C","21","N","52","52","41","41","51","54","54","49","24","23","29","27"
"363",126903,"CLEBURNE ISD","D","41","N","39","35","32","29","36","39","43","30","27","20","38","26"
"364",126904,"GRANDVIEW ISD","F","42","N","70","60","44","41","69","64","71","57","33","33","50","33"
"365",126905,"JOSHUA ISD","D","41","N","60","50","51","40","56","52","64","48","35","25","35","19"
"366",126906,"KEENE ISD","G","31","N","44","33","37","19","36","36","53","29","27","7","38","38"
"367",126907,"RIO VISTA ISD","H","42","N","37","28","30","19","24","19","48","36","0","0","17","0"
"368",126908,"VENUS ISD","D","31","N","23","27","20","25","21","24","25","31","14","22","6","17"
"369",126911,"GODLEY ISD","B","42","N","40","35","31","19","32","34","46","36","25","23","14","23"
"370",127901,"ANSON ISD","H","42","N","24","20","14","9","29","26","19","15","5","5","33","17"
"371",127904,"HAWLEY ISD","H","42","N","25","30","16","21","27","33","23","26","8","8","0","0"
"372",127906,"STAMFORD ISD","H","32","N","42","39","25","21","25","44","55","36","7","13","0","0"
"373",128901,"KARNES CITY ISD","G","33","N","54","37","47","30","56","41","50","30","35","18","22","11"
"374",128902,"KENEDY ISD","H","41","N","20","39","16","37","12","32","29","46","13","25","25","33"
"375",129901,"CRANDALL ISD","B","41","N","52","48","45","34","49","50","54","48","30","28","22","32"
"376",129902,"FORNEY ISD","B","41","N","59","56","43","39","59","58","58","54","36","34","45","44"
"377",129903,"KAUFMAN ISD","D","32","N","44","38","38","33","41","39","46","37","25","24","30","27"
"378",129904,"KEMP ISD","D","42","N","47","27","42","25","49","31","45","23","42","21","22","17"
"379",129905,"MABANK ISD","D","32","N","63","48","57","43","63","49","62","48","40","28","24","21"
"380",129906,"TERRELL ISD","C","32","N","40","38","36","33","41","41","39","35","27","20","34","41"
"381",129910,"SCURRY-ROSSER ISD","D","42","N","49","40","40","37","43","37","56","44","24","21","29","43"
"382",130901,"BOERNE ISD","B","41","N","65","63","44","42","65","68","65","59","29","28","41","43"
"383",130902,"COMFORT ISD","E","32","N","56","46","48","38","43","43","66","48","55","35","45","36"
"384",133901,"CENTER POINT ISD","H","42","N","46","44","35","38","39","50","52","39","23","9","29","29"
"385",133903,"KERRVILLE ISD","E","33","N","63","52","52","43","65","58","60","45","42","28","44","30"
"386",133904,"INGRAM ISD","G","41","N","48","33","46","31","41","34","55","33","34","18","10","10"
"387",137901,"KINGSVILLE ISD","E","32","N","53","38","48","33","48","36","59","40","32","16","19","16"
"388",137902,"RICARDO ISD","H","42","N","61","58","53","49","57","61","67","53","33","20","20","20"
"389",138903,"MUNDAY CISD","H","43","N","38","31","30","22","35","35","41","27","25","8","17","0"
"390",139905,"CHISUM ISD","G","41","N","62","57","48","48","63","57","60","57","45","41","14","29"
"391",139909,"PARIS ISD","E","33","N","45","32","38","26","42","29","48","35","22","7","38","31"
"392",139911,"NORTH LAMAR ISD","G","41","N","56","48","48","38","53","53","59","44","33","20","33","27"
"393",139912,"PRAIRILAND ISD","G","42","N","60","41","54","38","65","39","54","44","29","12","30","20"
"394",140904,"LITTLEFIELD ISD","G","32","N","52","42","46","41","57","46","48","38","38","24","33","33"
"395",141901,"LAMPASAS ISD","D","41","N","45","42","39","40","43","47","47","38","29","24","19","22"
"396",142901,"COTULLA ISD","D","33","N","41","35","39","33","34","36","47","34","30","23","33","28"
"397",143901,"HALLETTSVILLE ISD","G","43","N","53","47","46","40","57","53","50","42","32","24","44","44"
"398",144901,"GIDDINGS ISD","G","41","N","35","36","32","27","32","34","37","37","28","22","25","25"
"399",144902,"LEXINGTON ISD","G","43","N","51","40","43","31","53","44","50","35","22","26","29","14"
"400",145901,"BUFFALO ISD","G","43","N","52","46","49","37","53","42","52","52","31","14","11","11"
"401",145902,"CENTERVILLE ISD","H","43","N","41","49","22","22","34","52","50","45","36","36","71","57"
"402",145906,"NORMANGEE ISD","H","43","N","44","44","32","27","39","50","48","38","0","22","40","60"
"403",146901,"CLEVELAND ISD","D","31","N","32","30","32","30","32","32","33","29","28","29","24","20"
"404",146902,"DAYTON ISD","E","32","N","37","31","33","29","36","34","38","28","30","24","21","7"
"405",146904,"HARDIN ISD","G","42","N","30","24","27","22","36","28","25","21","13","10","8","8"
"406",146906,"LIBERTY ISD","G","32","N","28","35","25","33","29","38","27","32","20","22","13","9"
"407",146907,"TARKINGTON ISD","G","42","N","31","33","27","23","32","38","31","28","12","7","13","13"
"408",147901,"COOLIDGE ISD","H","42","N","82","50","76","41","100","38","71","57","100","17","40","20"
"409",147902,"GROESBECK ISD","G","41","N","43","30","39","24","33","31","52","28","17","13","33","13"
"410",147903,"MEXIA ISD","G","33","N","28","27","26","21","27","29","28","26","22","19","29","24"
"411",149902,"THREE RIVERS ISD","H","43","N","71","41","50","32","65","41","75","42","55","20","40","20"
"412",150901,"LLANO ISD","G","41","N","42","26","38","23","38","20","47","32","19","14","40","27"
"413",152901,"LUBBOCK ISD","C","11","N","46","38","39","28","43","39","50","36","23","14","24","22"
"414",152903,"SLATON ISD","G","31","N","36","36","27","24","32","32","40","40","0","7","18","24"
"415",152906,"LUBBOCK-COOPER ISD","D","41","N","57","52","40","31","55","53","60","51","31","16","28","26"
"416",152907,"FRENSHIP ISD","D","22","N","52","51","38","38","49","52","56","51","22","16","35","36"
"417",152908,"ROOSEVELT ISD","D","42","N","25","19","22","18","30","27","20","11","9","13","0","0"
"418",152910,"IDALOU ISD","D","42","N","70","61","60","43","65","58","73","63","40","40","50","50"
"419",154901,"MADISONVILLE CISD","G","32","N","33","38","27","30","35","49","30","29","21","26","0","20"
"420",155901,"JEFFERSON ISD","G","42","N","23","25","19","19","26","28","20","23","11","11","17","24"
"421",156902,"STANTON ISD","D","42","N","41","41","37","40","32","42","48","40","16","16","20","20"
"422",157901,"MASON ISD","H","43","N","37","51","22","35","37","58","38","44","26","35","25","13"
"423",158901,"BAY CITY ISD","E","32","N","29","31","24","23","31","34","26","28","18","15","26","33"
"424",158902,"TIDEHAVEN ISD","G","42","N","44","42","39","33","49","49","40","36","21","13","22","11"
"425",158905,"PALACIOS ISD","G","33","N","42","40","34","37","36","44","49","34","21","18","25","13"
"426",158906,"VAN VLECK ISD","G","41","N","67","46","63","39","69","52","64","39","63","21","40","0"
"427",159901,"EAGLE PASS ISD","D","33","N","47","42","45","38","45","44","50","40","35","29","30","33"
"428",160901,"BRADY ISD","G","41","N","31","31","26","28","20","32","38","30","12","0","33","44"
"429",161802,"RAPOPORT ACADEMY PUBLIC SCHOOL","I","12","Y","38","38","26","30","33","33","46","46","19","19","20","20"
"430",161807,"HARMONY SCIENCE ACAD (WACO)","I","21","Y","41","42","33","32","41","44","40","40","28","26","11","12"
"431",161901,"CRAWFORD ISD","H","42","N","62","68","64","73","65","85","59","47","38","63","29","71"
"432",161903,"MIDWAY ISD","D","22","N","66","63","48","44","63","64","69","61","41","34","29","24"
"433",161906,"LA VEGA ISD","D","22","N","42","46","42","48","43","50","41","43","40","42","18","12"
"434",161907,"LORENA ISD","G","41","N","58","61","50","50","57","66","58","55","23","25","40","40"
"435",161909,"MCGREGOR ISD","G","31","N","37","37","38","34","36","36","37","37","23","14","13","25"
"436",161912,"RIESEL ISD","H","42","N","27","37","13","22","31","41","23","32","0","0","10","10"
"437",161914,"WACO ISD","C","12","N","26","28","24","26","26","31","26","24","15","15","15","14"
"438",161916,"WEST ISD","G","41","N","56","52","36","45","53","58","59","46","40","60","17","0"
"439",161918,"AXTELL ISD","H","42","N","48","44","40","40","48","44","48","44","67","58","33","50"
"440",161919,"BRUCEVILLE-EDDY ISD","H","42","N","13","29","9","31","14","18","13","42","11","0","0","11"
"441",161920,"CHINA SPRING ISD","D","41","N","61","57","48","41","55","56","66","57","27","37","28","44"
"442",161921,"CONNALLY ISD","D","22","N","35","35","33","30","37","40","34","30","16","14","35","29"
"443",161922,"ROBINSON ISD","D","22","N","52","48","40","35","53","49","52","46","33","24","26","26"
"444",163901,"DEVINE ISD","E","41","N","46","46","32","35","43","43","48","49","24","20","50","36"
"445",163903,"NATALIA ISD","G","41","N","18","27","15","19","15","32","24","20","12","20","0","13"
"446",163904,"HONDO ISD","G","32","N","35","29","27","22","31","25","41","35","16","14","29","18"
"447",163908,"MEDINA VALLEY ISD","B","41","N","48","51","38","43","43","53","53","50","35","28","23","21"
